Statistical profiling result from nobloq.log, (2768 ticks, 0 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3   37.5%        node::contextify::ContextifyContext::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
      3  100.0%          LazyCompile: ~wrapSafe internal/modules/cjs/loader.js:899:18
      3  100.0%            LazyCompile: ~Module._compile internal/modules/cjs/loader.js:953:37
      2   25.0%        /usr/lib/x86_64-linux-gnu/libnode.so.72
      2  100.0%          LazyCompile: ~inspectorWaitForDebugger inspector.js:144:34
      2  100.0%            LazyCompile: ~<anonymous> /home/diego/.config/Code/User/workspaceStorage/68562e4f0aeb27dcaec26d33efed13dc/ms-vscode.js-debug/bootloader.js:2:84546
      1   12.5%        LazyCompile: ~lookup /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/mime/mime.js:102:19
      1  100.0%          LazyCompile: ~header /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/response.js:754:29
      1  100.0%            LazyCompile: ~contentType /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/response.js:594:32
      1   12.5%        LazyCompile: ~getValidStdio internal/child_process.js:904:23
      1  100.0%          LazyCompile: ~spawnSync child_process.js:570:19
      1  100.0%            LazyCompile: ~<anonymous> /home/diego/.config/Code/User/workspaceStorage/68562e4f0aeb27dcaec26d33efed13dc/ms-vscode.js-debug/bootloader.js:2:84546
      1   12.5%        LazyCompile: ~createClientErrorConstructor /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/http-errors/index.js:132:39
      1  100.0%          LazyCompile: ~forEachCode /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/http-errors/index.js:243:38
      1  100.0%            /usr/lib/x86_64-linux-gnu/libnode.so.72
      1    4.3%      Script: ~<anonymous> file:///home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/server.js:1:1
      1  100.0%        /usr/lib/x86_64-linux-gnu/libnode.so.72
      1  100.0%          node::loader::ModuleWrap::Evaluate(v8::FunctionCallbackInfo<v8::Value> const&)
      1  100.0%            LazyCompile: ~run internal/modules/esm/module_job.js:141:12
      1    4.3%      LazyCompile: ~parserOnIncoming _http_server.js:716:26
      1  100.0%        LazyCompile: ~parserOnHeadersComplete _http_common.js:77:33
      1    4.3%      LazyCompile: ~parserOnHeadersComplete _http_common.js:77:33
      1    4.3%      LazyCompile: ~next /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/router/index.js:176:16
      1  100.0%        LazyCompile: ~handle /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/router/index.js:136:31
      1  100.0%          LazyCompile: ~handle /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/application.js:158:29
      1  100.0%            LazyCompile: ~app /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/express.js:38:21
      1    4.3%      LazyCompile: ~module.exports /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/qs/lib/parse.js:222:27
      1  100.0%        LazyCompile: ~parseExtendedQueryString /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/utils.js:291:34
      1  100.0%          LazyCompile: ~query /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/middleware/query.js:39:24
      1  100.0%            LazyCompile: ~handle /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/router/layer.js:86:49
      1    4.3%      LazyCompile: ~logRequest /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/morgan/index.js:116:25
      1  100.0%        LazyCompile: ~listener /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/on-finished/index.js:161:20
      1  100.0%          LazyCompile: ~onFinish /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/on-finished/index.js:95:20
      1  100.0%            LazyCompile: ~callback /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/ee-first/index.js:53:20
      1    4.3%      LazyCompile: ~hasHooks internal/async_hooks.js:370:18
      1  100.0%        LazyCompile: ~emitBeforeScript internal/async_hooks.js:405:26
      1  100.0%          LazyCompile: ~processTicksAndRejections internal/process/task_queues.js:69:35
      1    4.3%      LazyCompile: ~getPathname /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/router/index.js:526:21
      1  100.0%        LazyCompile: ~next /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/router/index.js:176:16
      1  100.0%          LazyCompile: ~handle /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/router/index.js:136:31
      1  100.0%            LazyCompile: ~handle /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/application.js:158:29
      1    4.3%      LazyCompile: ~finalizeResolution internal/modules/esm/resolve.js:258:28
      1  100.0%        LazyCompile: ~moduleResolve internal/modules/esm/resolve.js:693:23
      1  100.0%          LazyCompile: ~defaultResolve internal/modules/esm/resolve.js:756:24
      1  100.0%            LazyCompile: ~resolve internal/modules/esm/loader.js:95:16
      1    4.3%      LazyCompile: ~executeUserEntryPoint internal/modules/run_main.js:53:31
      1  100.0%        Eval: ~<anonymous> internal/main/run_main_module.js:1:1
      1    4.3%      LazyCompile: ~baseGetTag /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/lodash/_baseGetTag.js:19:20
      1  100.0%        Eval: ~<anonymous> /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/lodash/_getTag.js:1:1
      1  100.0%          LazyCompile: ~Module._compile internal/modules/cjs/loader.js:953:37
      1  100.0%            LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:1008:37
      1    4.3%      LazyCompile: ~_addListener events.js:342:22
      1  100.0%        LazyCompile: ~addListener events.js:404:58
      1  100.0%          LazyCompile: ~getStdout internal/bootstrap/switches/is_main_thread.js:115:19
      1  100.0%            LazyCompile: ~morgan /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/morgan/index.js:59:17
      1    4.3%      LazyCompile: ~__webpack_require__ /home/diego/.config/Code/User/workspaceStorage/68562e4f0aeb27dcaec26d33efed13dc/ms-vscode.js-debug/bootloader.js:2:92803
      1  100.0%        LazyCompile: ~7207 /home/diego/.config/Code/User/workspaceStorage/68562e4f0aeb27dcaec26d33efed13dc/ms-vscode.js-debug/bootloader.js:2:82918
      1  100.0%          LazyCompile: ~__webpack_require__ /home/diego/.config/Code/User/workspaceStorage/68562e4f0aeb27dcaec26d33efed13dc/ms-vscode.js-debug/bootloader.js:2:92803
      1  100.0%            Eval: ~<anonymous> /home/diego/.config/Code/User/workspaceStorage/68562e4f0aeb27dcaec26d33efed13dc/ms-vscode.js-debug/bootloader.js:2:2
      1    4.3%      Eval: ~<anonymous> /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/lodash/_DataView.js:1:1
      1  100.0%        LazyCompile: ~Module._compile internal/modules/cjs/loader.js:953:37
      1  100.0%          LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:1008:37
      1  100.0%            LazyCompile: ~Module.load internal/modules/cjs/loader.js:851:33
      2    4.8%    v8::internal::Builtin_GlobalEval(int, unsigned long*, v8::internal::Isolate*)
      2  100.0%      LazyCompile: ~decode internal/deps/cjs-module-lexer/lexer.js:55:17
      2  100.0%        LazyCompile: ~tryParseRequire internal/deps/cjs-module-lexer/lexer.js:929:26
      2  100.0%          LazyCompile: ~parseSource internal/deps/cjs-module-lexer/lexer.js:85:22
      2  100.0%            LazyCompile: ~parseCJS internal/deps/cjs-module-lexer/lexer.js:40:19

